asset1,asset2,return
MMM,CAT,0.19829176900663703
MMM,CTAS,-0.1307286092978774
MMM,CSX,0.23741895028329862
MMM,DE,0.009128907111490553
MMM,GE,-0.1853818922645788
MMM,INFO,0.08725820909539747
MMM,JBHT,0.08766140509026518
MMM,J,0.19949498296692486
MMM,NSC,0.1744555773858457
MMM,ODFL,0.14924559284341188
MMM,PCAR,-0.020040570297979867
MMM,ROL,-0.1935942484230164
MMM,SNA,0.029186906283000427
MMM,TDG,-0.11691958365191939
MMM,UNP,0.22643838890011364
MMM,UPS,-0.04226591480574556
AOS,ALLE,-0.2058113380309571
AOS,CHRW,0.34036842890333646
AOS,CAT,0.0937885971762854
AOS,CTAS,-0.10323860741191762
AOS,CSX,-0.2073681297493074
AOS,DE,0.06633319294949498
AOS,DAL,-0.06040133860008413
AOS,FDX,-0.10925637054899241
AOS,GE,-0.1826781308479185
AOS,IEX,0.15084653405597376
AOS,J,0.0592401376303166
AOS,KSU,-0.11667133038934567
AOS,PCAR,-0.0549941961432941
AOS,RSG,0.030954277132338028
AOS,SNA,-0.05203630753381469
AOS,LUV,-0.21659405643679405
AOS,TDG,-0.3374054917278822
AOS,UNP,0.11461587007443508
AOS,UAL,0.06210994988997903
AOS,GWW,0.05687539122355549
AOS,WAB,-0.006707332350178622
AOS,WM,0.0394295505159616
AOS,XYL,-0.2637127012483968
ALLE,AME,0.1503602173110527
ALLE,CAT,0.24558849977146863
ALLE,CTAS,-0.27295523184790565
ALLE,CSX,-0.19255261050012895
ALLE,DE,-0.08301059455255803
ALLE,FAST,0.04164083680834592
ALLE,GE,0.2175795837877717
ALLE,IEX,-0.007355434260480979
ALLE,INFO,0.3776922921950996
ALLE,IR,0.30974062685192866
ALLE,JBHT,-0.02449175996455917
ALLE,J,0.348613125092182
ALLE,LDOS,0.058008332658783766
ALLE,MAS,-0.06201859902132914
ALLE,NSC,0.09180314184468574
ALLE,ODFL,0.3458673289921763
ALLE,PCAR,-0.06553578411340087
ALLE,ROL,-0.34079921508167504
ALLE,SNA,0.054499551548382444
ALLE,TDG,-0.1015180041197213
ALLE,UNP,0.045477240606410486
ALLE,UPS,-0.17632374509073082
ALLE,VRSK,-0.08285367113624699
ALLE,WAB,0.043993510013091146
AME,PCAR,-0.11587492892634822
BA,CAT,-0.33529374886513297
BA,PCAR,-0.1770639625885361
BA,SNA,-0.1346808445805966
CHRW,KSU,-0.11607230475254866
CARR,CAT,-0.2209683323896525
CARR,CTAS,0.01599521737001778
CARR,CSX,-0.35132144274722654
CARR,DE,-0.1960569861194512
CARR,FAST,-0.022096859696602623
CARR,GE,2.4774331515735986
CARR,IR,-0.0712052565922658
CARR,JBHT,-0.0798098480831628
CARR,J,-0.19001012319762564
CARR,ODFL,0.11067650765957428
CARR,PCAR,-0.32566602841626535
CARR,RSG,-0.1051452129014673
CARR,RHI,-0.1728666032816947
CARR,ROL,-0.33213841329849253
CARR,SNA,-0.23024529691139933
CARR,TDG,-0.07987807396206394
CARR,UNP,-0.13573634817201657
CARR,UPS,0.06106399518775157
CARR,VRSK,-0.12369724771165463
CARR,WAB,-0.17386470122517522
CARR,WM,-0.14723374562982805
CPRT,JBHT,-0.03610705760493598
CPRT,ROL,0.07305342030628265
CPRT,WAB,0.6557761825084271
CPRT,WM,0.11047323525843501
DOV,FDX,-0.15552783105356152
DOV,FTV,0.20038263291007752
DOV,GE,2.786692924552376
DOV,IEX,0.05174863238424194
DOV,IR,0.26949558341459795
DOV,JBHT,0.07858137960188352
DOV,J,-0.013760448572557652
DOV,ODFL,0.26385135069264215
DOV,OTIS,0.3614546105251135
DOV,PCAR,-0.17513358940198726
DOV,RSG,-0.037678920740926845
DOV,ROL,-0.271356298703964
DOV,SNA,0.18518523516636182
DOV,TDG,-0.12148768122003908
DOV,UNP,-0.009995452987966127
DOV,UPS,-0.13487997227387882
DOV,VRSK,-0.014337267169633705
DOV,GWW,-0.19182189486823045
DOV,WAB,-0.002221342039357114
DOV,WM,0.044486244416829725
DOV,XYL,-0.18253881174288952
ETN,WAB,0.20423289784399415
EFX,FAST,0.21619819621829447
EFX,GE,3.3928368285146835
EFX,JBHT,0.3369660101181426
EFX,ODFL,0.04097637651900033
EFX,PCAR,-0.3145278491484176
EFX,RSG,0.19673110662613705
EFX,RHI,0.1422082218952621
EFX,ROL,-0.4342101952168184
EFX,SNA,-0.18769255992881373
EFX,TDG,-0.08577111231709918
EFX,UNP,0.17055631706207902
EFX,UPS,-0.24207749535297116
EFX,VRSK,0.01654178042453597
EFX,GWW,-0.068668994529802
EFX,WAB,0.14935952365253136
EFX,WM,0.1884876628555529
EXPD,GE,-0.3635244784134059
EXPD,JBHT,0.13160418660664755
EXPD,PCAR,-0.08478162415620288
EXPD,ROL,-0.1878680644475027
EXPD,UPS,-0.11926416843694737
FAST,KSU,-0.06186935082776734
FAST,GWW,0.0006708837493728788
FDX,INFO,-0.010166364790609223
FTV,JBHT,0.3982870702110889
FTV,PCAR,-0.02025670451063721
FTV,ROL,0.11139526882728795
FTV,TDG,0.05773011344232174
FTV,WAB,0.3358043566387618
FTV,WM,0.3498257607224939
FBHS,GE,-0.31037220614921157
FBHS,HON,-0.2236603621142215
FBHS,IEX,0.14482334840237818
FBHS,IR,0.7465567754314467
FBHS,JBHT,-0.11717107329449995
FBHS,J,-0.09301623125740836
FBHS,ODFL,0.09884689662703706
FBHS,PCAR,-0.2678727010696661
FBHS,RSG,-0.13793466253543696
FBHS,ROL,-0.39609326987094484
FBHS,SNA,-0.1927415394337842
FBHS,TT,-0.9102178787152452
FBHS,TDG,-0.029826464183537755
FBHS,UNP,-0.018488702543236722
FBHS,UPS,0.2266670059848341
FBHS,VRSK,-0.12954963301132666
FBHS,GWW,0.0026819170418404975
FBHS,WAB,0.14888693061393599
FBHS,WM,-0.13502367951984487
FBHS,XYL,-0.10836996030469861
GNRC,GE,-0.2632132264294507
GNRC,INFO,-0.24665565168215428
GNRC,IR,-0.17129485335348785
GNRC,JBHT,-0.16939543453427702
GNRC,J,0.12111866201412165
GNRC,LDOS,-0.26857459378475074
GNRC,MAS,-0.39430857397347235
GNRC,NSC,0.02357735808659927
GNRC,ODFL,0.27524801545149397
GNRC,PCAR,-0.031551541147074605
GNRC,RHI,-0.08889367419093905
GNRC,ROL,-0.07450741327521711
GNRC,SNA,0.08070235031018033
GNRC,TDG,-0.31409209445893316
GNRC,UNP,-0.258095280269568
GNRC,UPS,-0.07839736024350742
GNRC,VRSK,-0.09022065608450285
GNRC,WAB,-0.1651343525789713
GNRC,WM,-0.007628286403011734
GD,GE,3.653297959513245
GD,INFO,0.09704874333545128
GD,JBHT,0.1291296193018829
GD,J,0.1702650939183934
GD,ODFL,0.011300258477072785
GD,PCAR,-0.1832371101558319
GD,RHI,0.2772562133457995
GD,TDY,0.20929233678117948
GD,TDG,0.008916229901584739
GD,VRSK,-0.23058835536937114
HON,INFO,0.2254201900366816
HII,RTX,0.06893491452547168
IEX,KSU,0.18480593033654907
IEX,PCAR,-0.08597672014982848
IEX,SWK,-0.06730159087200925
INFO,NLSN,0.06417269370824798
INFO,ODFL,0.2639927129064253
INFO,RSG,-0.03501341184807155
INFO,RHI,0.09799702746602561
INFO,SNA,0.2747639030568564
INFO,LUV,-0.06439469260717451
INFO,SWK,0.26203100860563283
ITW,KSU,0.03297065788868305
ITW,PCAR,-0.025709704392296116
ITW,SNA,-0.04312224037175969
ITW,WAB,-0.06286573082834832
IR,KSU,0.2957790023256095
JCI,ODFL,0.4124508141356928
JCI,PCAR,-0.2773683055604091
JCI,RSG,-0.10011037640821305
JCI,ROL,-0.3477556888080415
JCI,SNA,-0.08945379289483214
JCI,TT,-0.07360762627250966
JCI,TDG,-0.009201492164265801
JCI,UNP,-0.0925278889680875
JCI,UPS,-0.2016094758075994
JCI,VRSK,-0.10027528088965497
JCI,GWW,-0.18453616673561643
JCI,WAB,-0.08682450103679512
JCI,WM,-0.12145454089737104
JCI,XYL,-0.14962210267876652
KSU,PCAR,0.14751220881729446
LMT,PCAR,-0.03171377507093013
LMT,RSG,-0.09058923611148871
LMT,ROL,-0.2320328410763701
LMT,SNA,0.017942862370508083
LMT,TDG,-0.09812607376581989
LMT,UNP,0.26574454334857395
LMT,WAB,0.07797468071951182
LMT,WM,-0.12193480075228465
MAS,PCAR,0.11296063284249744
MAS,SNA,0.06449782454760308
MAS,TDG,-0.26982772365140206
MAS,WAB,0.4630486909734539
MAS,WM,-0.13471785282659068
NOC,ODFL,0.4322107335608735
NOC,PCAR,0.06265093334052071
NOC,ROL,-0.07793906995754965
NOC,SNA,-0.13699410780398932
NOC,TDG,-0.20255782668997446
NOC,UNP,0.08584274808164351
NOC,UPS,0.24118500476967558
NOC,VRSK,-0.19682033585750716
NOC,WAB,0.44791694104913565
NOC,WM,-0.006170056197245285
ODFL,RSG,0.41810927783325663
PNR,RSG,0.0287074634919659
PNR,RHI,0.0010456369978874864
PNR,ROL,-0.18188210070667163
PNR,SNA,0.033325560943179296
PNR,TDY,0.03154319680316883
PNR,TT,-0.7664893532341356
PNR,TDG,-0.016461647478811646
PNR,UNP,-0.07381298868250044
PNR,UPS,-0.19389962244444192
PNR,VRSK,-0.02945492031725531
PNR,WAB,0.20338786853481491
PNR,WM,-0.022836795086735074
PNR,XYL,0.09809479894761579
PWR,ROL,-0.1278134395369825
PWR,SNA,-0.06394660308302876
PWR,UNP,-0.20182335799758322
PWR,URI,-0.14078499542391715
PWR,VRSK,0.04416665103598905
RSG,TXT,0.23716989661792673
RSG,VRSK,0.05162725877966033
RHI,ROK,-0.03617163684942338
RHI,ROP,0.09568983013401011
RHI,SNA,-0.0050468788233213125
RHI,LUV,-0.17554595227392814
RHI,TT,-0.7962509223577325
RHI,TDG,-0.20007256768048756
RHI,UNP,0.19743786607636518
RHI,UAL,0.5145987652334175
RHI,UPS,-0.09969798388168041
RHI,VRSK,-0.19745227457428527
RHI,GWW,-0.0494149055140563
RHI,WAB,0.12441609958315618
RHI,WM,0.040908810433131146
RHI,XYL,-0.3801120847086007
ROK,ROL,-0.35717321029080207
ROK,SNA,-0.2415758628004133
ROK,TDG,-0.13586026866952802
ROK,UNP,-0.025747630255745606
ROK,VRSK,0.321300947359126
ROK,GWW,-0.05963322643349646
ROK,WAB,0.00464718981702812
ROK,WM,-0.024111961433371472
SWK,TT,-0.8262313512622792
SWK,TDG,0.04656138304103748
SWK,UNP,0.09666286159497307
SWK,UPS,-0.07731185137990586
SWK,URI,0.11923278859265468
SWK,VRSK,-0.1366920912150704
SWK,WAB,-0.2315201146175673
SWK,WM,-0.09266323773198383
SWK,XYL,-0.2755981430883205
TT,TDG,-0.9609866529740572
TT,UNP,-0.7859919382754738
TT,UPS,-0.5612422679207298
TT,GWW,-0.6761254752684666
TT,WAB,-0.838198651527779
TT,WM,-0.1312646541154341
GWW,WAB,0.16149441842749337
GWW,XYL,-0.10291851030679623
ABT,BDX,0.2409682662302177
ABT,HOLX,-0.06459527074309954
ABT,TMO,0.21934771317835694
ABBV,BAX,-0.19122779650099386
ABBV,CAH,0.22485389067593467
ABBV,LLY,-0.17651387520530115
ABBV,HOLX,0.2580798022055434
ABBV,HUM,0.030274634549485927
ABBV,MCK,0.19014840292427368
ABBV,PFE,-0.16489943588439318
ABBV,REGN,-0.10039964080287114
ABBV,STE,0.4064938484896338
ABBV,TMO,-0.17107176279235778
ABBV,UHS,0.2019990126026448
A,HOLX,0.1495539402104076
A,REGN,-0.08029801495750638
A,STE,0.013928935578033852
A,TMO,0.0740345159204441
ALGN,BDX,-0.04352310253637465
ALGN,BIIB,-0.3828121856202209
ALGN,CVS,-0.19131011560095182
ALGN,HSIC,-0.02390983109408844
ALGN,HOLX,0.6422554300833639
ALGN,INCY,-0.40878588190755416
ALGN,ISRG,0.20154806431510414
ALGN,JNJ,-0.35904811028926886
ALGN,OGN,-0.2839678454206663
ALGN,PFE,0.0390533999104696
ALGN,REGN,-0.05096802456871606
ALGN,STE,0.22715888023760403
ALGN,TMO,0.02224157984698075
ABC,HOLX,0.030244059524343902
ABC,INCY,0.387223546593026
ABC,MCK,-0.07666642862817417
ABC,PFE,0.010928833461540053
ABC,REGN,0.13753609694826024
ABC,STE,0.19610609884387725
ABC,TMO,0.26751423466408625
AMGN,BDX,0.46996819645775073
AMGN,CVS,-0.11451134666983882
AMGN,HSIC,0.07314308297500975
AMGN,PFE,-0.05645055601444619
AMGN,REGN,-0.16244153542096626
ANTM,BDX,0.2903862934308381
ANTM,CAH,0.6635423116624152
ANTM,HCA,-0.17593798854037027
ANTM,HOLX,-0.14832802880579082
ANTM,HUM,0.11867947179412673
ANTM,INCY,0.025703611245842767
ANTM,REGN,-0.1667915414140423
ANTM,STE,0.5252975800356621
ANTM,TMO,0.1556974314931131
BAX,BDX,-0.0007993677573325112
BAX,BIO,0.01901088600091345
BAX,BIIB,0.26029103754578437
BAX,BSX,-0.03491183654020744
BAX,CTLT,-0.23349365340235148
BAX,CRL,-0.07023315388822608
BAX,CVS,0.03394348769041913
BAX,DHR,-0.32013975363251057
BAX,DVA,0.24629161956440498
BAX,GILD,0.02476227335295349
BAX,HSIC,0.007609838043240888
BAX,HOLX,-0.33838029216000565
BAX,INCY,0.2994402661556279
BAX,ISRG,-0.4598188907711608
BAX,IQV,-0.04546242577889745
BAX,JNJ,0.15561401118767534
BAX,MDT,-0.08653609611504537
BAX,MRNA,-0.6703322572621564
BAX,OGN,0.01567410814423929
BAX,PFE,-0.121618378848961
BAX,DGX,-0.04391401867228604
BAX,REGN,-0.11089891279043455
BAX,RMD,-0.2815581911707741
BAX,STE,0.06992191765175623
BAX,TMO,-0.24943910412528464
BAX,UHS,-0.047953343129087445
BAX,WAT,-0.0751393493678348
BAX,ZBH,-0.0136512371168338
BIO,DHR,0.34357941897646177
BIO,HOLX,-0.07483542165093676
BIO,INCY,0.07001055364527216
BIO,OGN,-0.1384536608901844
BIO,PFE,0.18603069666691663
BIO,REGN,0.0032259678170128607
BIO,STE,0.28759639803614817
BIO,TMO,0.1262974454020086
TECH,DHR,0.03154364911822864
TECH,HSIC,0.23020174435229884
TECH,HOLX,-0.07466067378564883
TECH,OGN,-0.04297928990720204
TECH,REGN,0.16343139987285046
TECH,STE,0.20057297508129923
TECH,TMO,0.09543244974042318
TECH,WAT,0.04884763930979127
BIIB,BMY,0.3841787509776099
BIIB,CAH,0.03936941805859751
BIIB,DHR,0.1414031444358104
BIIB,DXCM,0.0036426010452385526
BIIB,EW,1.144051874684958
BIIB,HCA,0.31490465173316506
BIIB,HOLX,-0.08093373361458157
BIIB,INCY,0.7066731710103986
BIIB,MTD,0.5005674802818117
BIIB,PKI,0.1543179472045254
BIIB,DGX,0.40020876517729426
BIIB,WST,0.4298861619235406
BIIB,ZTS,0.4917203860588788
BMY,CERN,0.2712334789952914
