asset1,asset2,pval
MMM,AOS,0.6621459875724574
MMM,ALK,0.4634128955017989
MMM,ALLE,0.02303352120236162
MMM,AAL,0.10913624342642958
MMM,AME,0.7625633435909032
MMM,BA,0.5417981158787791
MMM,CHRW,0.3137187916750549
MMM,CARR,0.1792563022132851
MMM,CAT,0.8953462344294498
MMM,CTAS,0.8542637830219957
MMM,CPRT,0.2471485413764849
MMM,CSX,0.9030052448687804
MMM,CMI,0.7275038887815377
MMM,DE,0.8757441649191966
MMM,DAL,0.5716049178550952
MMM,DOV,0.2908481773630469
MMM,ETN,0.35610602132772573
MMM,EMR,0.3130762708614522
MMM,EFX,0.29655174335408385
MMM,EXPD,0.12611380433203406
MMM,FAST,0.7593817498306795
MMM,FDX,0.5101121100296432
MMM,FTV,0.6662755770858775
MMM,FBHS,0.6368225772902197
MMM,GNRC,0.0770398815366454
MMM,GD,0.1621441154570848
MMM,GE,0.9165727468103676
MMM,HON,0.29197470984570306
MMM,HWM,0.38697045009874237
MMM,HII,0.6321666039573919
MMM,IEX,0.7962848493095622
MMM,INFO,0.9929276050655711
MMM,ITW,0.7409790123787859
MMM,IR,0.7760522793862523
MMM,JBHT,0.865235513794072
MMM,J,0.880265438214993
MMM,JCI,0.4106090683561283
MMM,KSU,0.7213920878116244
MMM,LHX,0.6455148637341955
MMM,LDOS,0.7956461433872348
MMM,LMT,0.31093918339271726
MMM,MAS,0.6659985191988173
MMM,NLSN,0.712570336046119
MMM,NSC,0.8928176038439826
MMM,NOC,0.019849516906540906
MMM,ODFL,0.8210242142763069
MMM,OTIS,0.059049514780966456
MMM,PCAR,0.895856398574743
MMM,PH,0.7444565503460874
MMM,PNR,0.38814581332600845
MMM,PWR,0.1947573738069046
MMM,RTX,0.10707587336369906
MMM,RSG,0.6946401104257289
MMM,RHI,0.7267426380845494
MMM,ROK,0.28615653171296473
MMM,ROL,0.8561558242966032
MMM,ROP,0.17994843322849374
MMM,SNA,0.8126178236139837
MMM,LUV,0.33907481019181285
MMM,SWK,0.7156465535879708
MMM,TDY,0.6653829740782674
MMM,TXT,0.6182270088276162
MMM,TT,0.5925169068646488
MMM,TDG,0.8383081476667688
MMM,UNP,0.8453790121208324
MMM,UAL,0.44789725499551747
MMM,UPS,0.9356332531976116
MMM,URI,0.743821103488745
MMM,VRSK,0.762811925130106
MMM,GWW,0.5641089987955222
MMM,WAB,0.7917104217281568
MMM,WM,0.7947750827747011
MMM,XYL,0.5128300830679663
AOS,ALK,0.7755161784198974
AOS,ALLE,0.821300327156509
AOS,AAL,0.7726848470460352
AOS,AME,0.2290082182755092
AOS,BA,0.5777810366251542
AOS,CHRW,0.8058391662195042
AOS,CARR,0.7016975069968616
AOS,CAT,0.858730948226887
AOS,CTAS,0.8929182286975219
AOS,CPRT,0.6814679473676745
AOS,CSX,0.8711076264541532
AOS,CMI,0.7654591659602945
AOS,DE,0.8943206703702344
AOS,DAL,0.8010634250709043
AOS,DOV,0.5748277877396711
AOS,ETN,0.23887472039850532
AOS,EMR,0.7842560641830416
AOS,EFX,0.4273843893696131
AOS,EXPD,0.6542604951362313
AOS,FAST,0.4603135155347566
AOS,FDX,0.8097760837601937
AOS,FTV,0.7044924380296569
AOS,FBHS,0.3852196738883451
AOS,GNRC,0.7820863594352289
AOS,GD,0.6419384668488186
AOS,GE,0.8149777770412956
AOS,HON,0.7799019269305538
AOS,HWM,0.42603161423179203
AOS,HII,0.09937160129394351
AOS,IEX,0.8057189974918972
AOS,INFO,0.6246769806456836
AOS,ITW,0.063870157127644
AOS,IR,0.1945486773150643
AOS,JBHT,0.7516538378566049
AOS,J,0.8417108835722296
AOS,JCI,0.2921072194383296
AOS,KSU,0.965554182780746
AOS,LHX,0.3894805369560732
AOS,LDOS,0.25889937443969235
AOS,LMT,0.46062901481672025
AOS,MAS,0.0619339691254045
AOS,NLSN,0.44381647660043544
AOS,NSC,0.1165592487151546
AOS,NOC,0.44292785398847523
AOS,ODFL,0.6120960007338669
AOS,OTIS,0.7046478153515028
AOS,PCAR,0.9176637483832
AOS,PH,0.03289288646555089
AOS,PNR,0.7625721469945579
AOS,PWR,0.6658598417921705
AOS,RTX,0.5104927541462813
AOS,RSG,0.8849345830623674
AOS,RHI,0.694634555339309
AOS,ROK,0.3057534424601253
AOS,ROL,0.7696848025186627
AOS,ROP,0.63198380211798
AOS,SNA,0.9331949594560027
AOS,LUV,0.8478431818406442
AOS,SWK,0.7011995276377359
AOS,TDY,0.7781010381437989
AOS,TXT,0.14219804044925388
AOS,TT,0.7484717118808127
AOS,TDG,0.8029394517016846
AOS,UNP,0.8646902221738366
AOS,UAL,0.8191083237740269
AOS,UPS,0.4640414144355455
AOS,URI,0.7222580003369242
AOS,VRSK,0.7094231319385889
AOS,GWW,0.9264307300279834
AOS,WAB,0.8757101222199417
AOS,WM,0.9120307788837753
AOS,XYL,0.8437659293563311
ALK,ALLE,0.06616220652367576
ALK,AAL,0.3450805077965954
ALK,AME,0.2619955681943228
ALK,BA,0.15133253471647912
ALK,CHRW,0.06426067256972871
ALK,CARR,0.09357481021065156
ALK,CAT,0.46869446561051703
ALK,CTAS,0.3633735463916694
ALK,CPRT,0.22180493510345123
ALK,CSX,0.4853129134859334
ALK,CMI,0.6762996983730257
ALK,DE,0.35512837665771857
ALK,DAL,0.3616676362309326
ALK,DOV,0.0912543568530903
ALK,ETN,0.265776087810805
ALK,EMR,0.011953003485464138
ALK,EFX,0.1806205859654587
ALK,EXPD,0.20504479069175074
ALK,FAST,0.40942337130184714
ALK,FDX,0.4759334406796392
ALK,FTV,0.40638262376177936
ALK,FBHS,0.16958507841276615
ALK,GNRC,0.046422382363088426
ALK,GD,0.19439075240028092
ALK,GE,0.4148707290457709
ALK,HON,0.3507368762943131
ALK,HWM,0.37656959284213565
ALK,HII,0.21853890575587998
ALK,IEX,0.42160540016359827
ALK,INFO,0.01776934896617581
ALK,ITW,0.23851888899254098
ALK,IR,0.4477430032313196
ALK,JBHT,0.36119692292860045
ALK,J,0.5072979685377296
ALK,JCI,0.12301433201622447
ALK,KSU,0.20545116292211446
ALK,LHX,0.3763968549113348
ALK,LDOS,0.4457210591886628
ALK,LMT,0.2468783107675266
ALK,MAS,0.30523539344944667
ALK,NLSN,0.27022304408332165
ALK,NSC,0.3843939935158032
ALK,NOC,0.05556752436158445
ALK,ODFL,0.35408884174536126
ALK,OTIS,0.13729249603456573
ALK,PCAR,0.5396007050740381
ALK,PH,0.49083587124623346
ALK,PNR,0.08908403207358262
ALK,PWR,0.05856483684362791
ALK,RTX,0.23427975332940904
ALK,RSG,0.16312605927851992
ALK,RHI,0.0875564970292188
ALK,ROK,0.15721177661838442
ALK,ROL,0.4252236812287855
ALK,ROP,0.025843503452729316
ALK,SNA,0.7949102712955785
ALK,LUV,0.49029837972606855
ALK,SWK,0.031206822588755675
ALK,TDY,0.054404735067578903
ALK,TXT,0.2601322504546293
ALK,TT,0.1819684452040095
ALK,TDG,0.6686343116013205
ALK,UNP,0.4594755285680221
ALK,UAL,0.40699723424283774
ALK,UPS,0.4220881329567629
ALK,URI,0.30465629696279845
ALK,VRSK,0.25988003985677494
ALK,GWW,0.13814791240179386
ALK,WAB,0.33683600037863193
ALK,WM,0.23776506204575215
ALK,XYL,0.21987638907846224
ALLE,AAL,0.029467703506376425
ALLE,AME,0.8131489318612031
ALLE,BA,0.2968260930376502
ALLE,CHRW,0.15445299685440694
ALLE,CARR,0.3243720567494571
ALLE,CAT,0.871969030852245
ALLE,CTAS,0.9142951782432256
ALLE,CPRT,0.4858018856748572
ALLE,CSX,0.9099010690890114
ALLE,CMI,0.5958066779874832
ALLE,DE,0.9178004420910519
ALLE,DAL,0.435639500688358
ALLE,DOV,0.5547554953577442
ALLE,ETN,0.51793551958816
ALLE,EMR,0.23669322592923825
ALLE,EFX,0.3951070734070644
ALLE,EXPD,0.34983016492125296
ALLE,FAST,0.8915876004387921
ALLE,FDX,0.7121790253620948
ALLE,FTV,0.7456405821568503
ALLE,FBHS,0.5262833519048745
ALLE,GNRC,0.06264690654775665
ALLE,GD,0.12919680696961933
ALLE,GE,0.9104861383262501
ALLE,HON,0.1387971517789981
ALLE,HWM,0.28846208509761173
ALLE,HII,0.5529731867888423
ALLE,IEX,0.9173666721002972
ALLE,INFO,0.9151709179124233
ALLE,ITW,0.7338731843942393
ALLE,IR,0.8834885668493109
ALLE,JBHT,0.90820621380731
ALLE,J,0.9208791455865966
ALLE,JCI,0.5104347209263519
ALLE,KSU,0.17845246110357493
ALLE,LHX,0.6629390090917837
ALLE,LDOS,0.8061271447822453
ALLE,LMT,0.24823253951987556
ALLE,MAS,0.8043022192873923
ALLE,NLSN,0.6646905748352534
ALLE,NSC,0.8795728869181432
ALLE,NOC,0.0051676681163454995
ALLE,ODFL,0.9023805040890591
ALLE,OTIS,0.19954563111808626
ALLE,PCAR,0.897248308968535
ALLE,PH,0.7598156242776164
ALLE,PNR,0.11628590876011019
ALLE,PWR,0.27071470817490895
ALLE,RTX,0.11625843097753341
ALLE,RSG,0.595451289706474
ALLE,RHI,0.788381090453936
ALLE,ROK,0.4379267455067312
ALLE,ROL,0.9232324675849293
ALLE,ROP,0.29687882454002235
ALLE,SNA,0.9208381516484083
ALLE,LUV,0.13180041084069172
ALLE,SWK,0.22263889799161113
ALLE,TDY,0.6627747884361606
ALLE,TXT,0.5846190607837874
ALLE,TT,0.7302686267605618
ALLE,TDG,0.8986646578629601
ALLE,UNP,0.8746349736592458
ALLE,UAL,0.28841380930001526
ALLE,UPS,0.9396200022054609
ALLE,URI,0.7510968370378349
ALLE,VRSK,0.8709159722389368
ALLE,GWW,0.3925989224695359
ALLE,WAB,0.8364347371500427
ALLE,WM,0.7777865582702446
ALLE,XYL,0.5509746220725684
AAL,AME,0.17756993421933437
AAL,BA,0.09861986049529065
AAL,CHRW,0.04917789302332447
AAL,CARR,0.018955982861962744
AAL,CAT,0.33213653327886594
AAL,CTAS,0.3345528708188569
AAL,CPRT,0.056660744794027655
AAL,CSX,0.36659816323901184
AAL,CMI,0.38389489729052395
AAL,DE,0.41415969455804147
AAL,DAL,0.40621807653456093
AAL,DOV,0.07892683259554589
AAL,ETN,0.12046448200710802
AAL,EMR,0.04955834756552216
AAL,EFX,0.056245202830042286
AAL,EXPD,0.07380545865910954
AAL,FAST,0.1762645407083701
AAL,FDX,0.49070635454969685
AAL,FTV,0.1931980438088663
AAL,FBHS,0.06739903583946
AAL,GNRC,0.004096053892367202
AAL,GD,0.06140150461686066
AAL,GE,0.42641930404993406
AAL,HON,0.028788508246794752
AAL,HWM,0.17821622892283961
AAL,HII,0.2257551404324562
AAL,IEX,0.23448771677873248
AAL,INFO,0.32263767475306626
AAL,ITW,0.20007127827322002
AAL,IR,0.4220628086337462
AAL,JBHT,0.3098475789324168
AAL,J,0.36805670684230063
AAL,JCI,0.10951747266597145
AAL,KSU,0.30083463230767593
AAL,LHX,0.2935317233987218
AAL,LDOS,0.34721654089696036
AAL,LMT,0.03836370529924958
AAL,MAS,0.2010832561506764
AAL,NLSN,0.43220631972536777
AAL,NSC,0.3235392471056362
AAL,NOC,0.017892917082867096
AAL,ODFL,0.32872767682625714
AAL,OTIS,0.08591268840828292
AAL,PCAR,0.37432794744539927
AAL,PH,0.269391937803521
AAL,PNR,0.028631713254534022
AAL,PWR,0.043479214818262724
AAL,RTX,0.09704588459129088
AAL,RSG,0.15965033311174504
AAL,RHI,0.17400087712310663
AAL,ROK,0.10691883431201354
AAL,ROL,0.30205408353854535
AAL,ROP,0.012674586127821802
AAL,SNA,0.5961329287875106
AAL,LUV,0.02273338639062896
AAL,SWK,0.009365157042648663
AAL,TDY,0.02321029336898871
AAL,TXT,0.08780978594198185
AAL,TT,0.11168376175620992
AAL,TDG,0.5617457243961537
AAL,UNP,0.33074817412323054
AAL,UAL,0.19919054927270857
AAL,UPS,0.2949955258955223
AAL,URI,0.26296627434680636
AAL,VRSK,0.25538447165520034
AAL,GWW,0.08502168516501046
AAL,WAB,0.2729721473447059
AAL,WM,0.28040881899293957
AAL,XYL,0.0765242971185308
AME,BA,0.27194423639486975
AME,CHRW,0.5333475154640618
AME,CARR,0.43310894218750057
AME,CAT,0.581535206660832
AME,CTAS,0.7744200421851782
AME,CPRT,0.5024861034527848
AME,CSX,0.6141966836501148
AME,CMI,0.618751292940704
AME,DE,0.6601098307679238
AME,DAL,0.5161467633045198
AME,DOV,0.16394280955824642
AME,ETN,0.14276457806555753
